2023-02-09 17:04:19
province,城市,现存确诊,累计确诊,死亡,治愈
甘肃,天水,0,57,0,57
甘肃,定西,0,15,0,15
甘肃,平凉,0,9,0,9
甘肃,甘南州,0,49,0,49
甘肃,白银,0,29,0,29
甘肃,陇南,0,33,0,33
甘肃,庆阳,0,8,0,8
甘肃,临夏州,0,82,0,82
甘肃,张掖,0,19,0,19
甘肃,金昌,0,1,0,1
甘肃,嘉峪关,0,5,0,5
甘肃,武威,0,8,0,8
甘肃,酒泉,0,1,0,1
内蒙古,鄂尔多斯,46,471,0,425
内蒙古,包头,2,215,0,213
内蒙古,锡林郭勒,0,444,0,444
内蒙古,赤峰,46,553,0,507
内蒙古,巴彦淖尔,0,46,1,45
内蒙古,呼和浩特,208,4682,0,4474
内蒙古,通辽,0,33,0,33
内蒙古,呼伦贝尔,33,841,0,808
内蒙古,乌兰察布,0,101,0,101
内蒙古,乌海,0,21,0,21
内蒙古,兴安盟,0,40,0,40
内蒙古,阿拉善盟,0,177,0,177
贵州,贵阳,3,422,1,418
贵州,遵义,4,350,0,346
贵州,六盘水,11,45,1,33
贵州,安顺,0,10,0,10
贵州,毕节,9,608,0,599
贵州,铜仁,22,64,0,42
贵州,黔东南州,0,105,0,105
贵州,黔南州,68,134,0,66
贵州,黔西南州,1,21,0,20
西藏,拉萨,7,778,0,771
西藏,日喀则,4,241,0,237
西藏,昌都,7,268,0,261
西藏,林芝,1,110,0,109
西藏,山南,0,14,0,14
西藏,那曲,4,91,0,87
西藏,阿里,3,20,0,17
青海,西宁,33,413,0,380
青海,海北州,2,9,0,7
青海,海东,15,25,0,10
青海,黄南,3,8,0,5
青海,海南,1,6,0,5
青海,果洛,3,3,0,0
青海,玉树,4,9,0,5
青海,海西,1,48,0,47
新疆,乌鲁木齐,1,1868,0,1867
新疆,伊犁州,1,188,0,187
新疆,昌吉州,0,11,0,11
新疆,吐鲁番,0,31,0,31
新疆,巴州,0,44,0,44
新疆,阿克苏地区,0,1,0,1
新疆,五家渠,0,2,0,2
新疆,石河子,0,4,1,3
新疆,喀什,1,240,0,239
新疆,克孜勒苏,1,4,0,3
新疆,博尔塔拉,0,1,0,1
新疆,哈密,0,8,0,8
新疆,和田,1,150,0,149
新疆,塔城,0,13,0,13
宁夏,银川,3,99,0,96
宁夏,石嘴山,0,2,0,2
宁夏,吴忠,0,50,0,50
宁夏,固原,0,9,0,9
宁夏,中卫,0,80,0,80
